change y range to start from 0 with matplotlib,plt.show()
how to convert hex string to integer in python?,"y = str(int(x, 16))"
python convert tuple to integer,"int(''.join(map(str, x)))"
how do i permanently set the current directory to the desktop in python?,os.chdir('C:/Users/Name/Desktop')
get a list `no_integers` of all the items in list `mylist` that are not of type `int`,"no_integers = [x for x in mylist if not isinstance(x, int)]"
python: sort an array of dictionaries with custom comparator?,key = lambda d: d['rank'] if d['rank'] != 0 else float('inf')
extracting column `1` and `9` from array `data`,"data[:, ([1, 9])]"
python dictionary replace values,my_dict.get('corse') and my_dict.update({'corse': 'my definition'})
add a 2d array(field) to a numpy recarray,"rf.append_fields(arr, 'vel', np.arange(3), usemask=False)"
creating your own contour in opencv using python,cv2.waitKey(0)
how to use ax.get_ylim() in matplotlib,plt.show()
extract table data from table `rows` using beautifulsoup,[[td.findNext(text=True) for td in tr.findAll('td')] for tr in rows]
converting a full column of integer into string with thousands separated using comma in pandas,"df['Population'].str.replace('(?!^)(?=(?:\\d{3})+$)', ',')"
get size of a file before downloading in python,os.stat('/the/local/file.zip').st_size
beautifulsoup select 'div' elements with an id attribute value ending with sub-string '_answer' in html parsed string `soup`,soup.select('div[id$=_answer]')
convert a column of timestamps into periods in pandas,df[1] = df[0].dt.to_period('M')
"how can i ""divide"" words with regular expressions?","print(re.match('[^/]+', text).group(0))"
change the current directory one level up,os.chdir('..')
how to add logging to a file with timestamps to a python tcp server for raspberry pi,logging.info('some message')
how to auto-scroll a gtk.scrolledwindow?,"self.treeview.connect('size-allocate', self.treeview_changed)"
one-line expression to map dictionary to another,"dict([(m.get(k, k), v) for k, v in list(d.items())])"
accessing python dict values with the key start characters,"[v for k, v in list(my_dict.items()) if k.startswith('Date')]"
problem with inserting into mysql database from python,conn.commit()
python: how to filter a list of dictionaries to get all the values of one key,print([a['data'] for a in thedata])
get all the keys from dictionary `y` whose value is `1`,[i for i in y if y[i] == 1]
group dataframe `df` based on minute interval,df.groupby(df.index.map(lambda t: t.minute))
sum of product of combinations in a list,"list(itertools.combinations(a, 2))"
how to input an integer tuple from user?,"tuple(int(x.strip()) for x in input().split(','))"
getting 'str' object has no attribute 'get' in django,request.GET.get('id')
converting a list of tuples of different sizes into a dictionary,"d = dict((v[0], v[1:]) for v in arr)"
how to i load a tsv file into a pandas dataframe?,"DataFrame.from_csv('c:/~/trainSetRel3.txt', sep='\t')"
pandas: subtract row mean from each element in row,df.mean(axis=1)
interweaving two numpy arrays,"array([1, 2, 3, 4, 5, 6])"
convert string to ascii value python,""""""""""""".join(str(ord(c)) for c in s)"
python: use regular expression to remove the white space from all lines,"re.sub('\\s+\\Z', '', s)"
"sympy solve matrix of linear equations `(([1, 1, 1, 1], [1, 1, 2, 3]))` with variables `(x, y, z)`","linsolve(Matrix(([1, 1, 1, 1], [1, 1, 2, 3])), (x, y, z))"
reading tab delimited csv into numpy array with different data types,"np.genfromtxt(txt, delimiter='\t', dtype='6int,S20')"
access an arbitrary element in a dictionary in python,list(dict.keys())
deleting multiple slices from a numpy array,"array([0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 19])"
using django orm get_or_create with multiple databases,MyModel.objects.using('my_non_default_database').get_or_create(name='Bob')
rename column 'gdp' in dataframe `data` to 'log(gdp)',"data.rename(columns={'gdp': 'log(gdp)'}, inplace=True)"
sum the values in each row of every two adjacent columns in dataframe `df`,"df.groupby(np.arange(len(df.columns)) // 2 + 1, axis=1).sum().add_prefix('s')"
django: how to get the root path of a site in template?,"url('^mah_root/$', 'someapp.views.mah_view', name='mah_view'),"
python: transform a list of lists of tuples,zip(*main_list)
how to subset pandas time series by time of day,"df.between_time('12:00', '13:00')"
reversing lists of numbers in python,bids.append(int(bid))
add element to a json in python,data[0]['f'] = var
pyhon - best way to find the 1d center of mass in a binary numpy array,np.flatnonzero(x[:-1] != x[1:]).mean() + 0.5
big array with random numbers with python,"vet = [random.randint(1, 10) for _ in range(100000)]"
convert string '01/12/2011' to an integer timestamp,"int(datetime.datetime.strptime('01/12/2011', '%d/%m/%Y').strftime('%s'))"
python string to unicode,"str(a, 'unicode-escape')"
python: how to use a list comprehension here?,[y['baz'] for x in foos for y in x['bar']]
python repeat string,print('{0} {0}'.format(s[:5]))
using anchors in python regex to get exact match,"""""""^v\\d+$"""""""
sort a list of objects 'somelist' where the object has member number variable `resulttype`,somelist.sort(key=lambda x: x.resultType)
how to find and count emoticons in a string using python?,wordcount = len(s.split())
how can i get the python compiler string programmatically?,"""""""GCC 4.9.2"""""""
how do i match contents of an element in xpath (lxml)?,"tree.xpath("".//a[text()='Example']"")[0].tag"
convert scientific notation to decimal - python,"""""""{:.50f}"""""".format(float(a[0] / a[1]))"
use operations like max/min within a row to a dataframe 'd' in pandas,"d.apply(lambda row: min([row['A'], row['B']]) - row['C'], axis=1)"
index of element in numpy array,"i, j = np.where(a == value)"
converting a dict into a list,"['two', 2, 'one', 1]"
sort list `my_list` in alphabetical order based on the values associated with key 'name' of each dictionary in the list,my_list.sort(key=operator.itemgetter('name'))
list of all unique characters in a string?,list(set('aaabcabccd'))
load a json data `json_string` into variable `json_data`,json_data = json.loads(json_string)
python spliting a string,"""""""Sico87 is an awful python developer"""""".split(' ')"
how to extract a floating number from a string,"re.findall('\\d+\\.\\d+', 'Current Level: 13.4 db.')"
how to get the symbolic path instead of real path?,os.path.abspath('link/file')
how to plot a rectangle on a datetime axis using matplotlib?,ax.xaxis.set_major_locator(locator)
how do i get the url of the active google chrome tab in windows?,"omniboxHwnd = win32gui.FindWindowEx(hwnd, 0, 'Chrome_OmniboxView', None)"
how to use selenium with python?,from selenium import webdriver
check python version,sys.version_info
pass another object to the main flask application,app.run()
how to store indices in a list,print([s[i] for i in index])
load a tsv file `c:/~/trainsetrel3.txt` into a pandas data frame,"DataFrame.from_csv('c:/~/trainSetRel3.txt', sep='\t')"
get a list `res_list` of the first elements of each tuple in a list of tuples `rows`,res_list = [x[0] for x in rows]
selenium / python - selecting via css selector,"driver.find_element_by_css_selector("".test_button4[value='Update']"").click()"
how can i treat a section of a file as though it's a file itself?,f.seek(0)
how to compare list in python?,result.append(b[index])
reply to tweet with tweepy - python,"api.update_status('@<username> My status update', tweetId)"
how to save xlsxwriter file in certain path?,workbook = xlsxwriter.Workbook('app/smth1/smth2/Expenses01.xlsx')
how to write a multidimensional array to a text file?,outfile.write('# New slice\n')
how to get an arbitrary element from a frozenset?,[next(iter(s)) for _ in range(10)]
"append line ""cool beans..."" to file ""foo""","with open('foo', 'a') as f:
    f.write('cool beans...')"
python wildcard matching,"""""""1**0*"""""".replace('*', '[01]')"
sorting python list based on the length of the string,xs.sort(key=lambda s: len(s))
how can i get around declaring an unused variable in a for loop?,[''] * len(myList)
replacing letters in python given a specific condition,"['tuberculin 1 Cap(s)', 'tylenol 1 Cap(s)', 'tramadol 2 Cap(s)']"
how to print container object with unicode-containing values?,print(str(x).decode('raw_unicode_escape'))
matplotlib - how to plot a random-oriented rectangle (or any shape)?,plt.show()
consequences of abusing nltk's word_tokenize(sent),"nltk.tokenize.word_tokenize('Hello, world. How are you?')"
how to display a jpg file in python?,Image.open('pathToFile').show()
how do i connect to a mysql database in python?,cursor.execute('SELECT * FROM LOCATION')
mask out specific values from an array,"np.in1d(a, [2, 3]).reshape(a.shape)"
how to run basic web app container in docker-py?,host_port = info['NetworkSettings']['Ports']['1337'][0]['HostPort']
filter pyspark dataframe column with none value,df.filter('dt_mvmt is not NULL')
how to iterate over unicode characters in python 3?,print('U+{:04X}'.format(ord(c)))
python - how to calculate equal parts of two dictionaries?,"dict((x, set(y) & set(d1.get(x, ()))) for x, y in d2.items())"
select rows from a dataframe based on values in a column in pandas,"df.loc[df.index.isin(['one', 'two'])]"
how do convert a pandas/dataframe to xml?,print(df.to_xml())
python - move elements in a list of dictionaries to the end of the list,"sorted(lst, key=lambda x: x['language'] != 'en')"
app engine ndb alternative for db.stringlistproperty,ndb.StringProperty(repeated=True)
elegant way to transform a list of dict into a dict of dicts,"dict(zip([d.pop('name') for d in listofdict], listofdict))"
how to install subprocess module for python?,subprocess.call(['py.test'])
add legend to scatter plot,plt.show()
turn dataframe into frequency list with two column variables in python,"pd.concat([df1, df2], axis=1)"
how to convert a string to its base-10 representation?,"int(s.encode('hex'), 16)"
split 1d array `a` into 2d array at the last element,"np.split(a, [-1])"
mapping a table function to a model using sqlalchamy,session.query(func.myThingFunction('bar')).all()
how can a python list be sliced such that a column is moved to being a separate element column?,"[item for sublist in [[i[1:], [i[0]]] for i in l] for item in sublist]"
tornado write a jsonp object,"{'1': 2, 'foo': 'bar', 'false': true}"
how to pass members of a dict to a function,some_func(**mydict)
regex - substitute specific chars exept specific string,"""""""\\1"""""""
accepting a dictionary as an argument with argparse and python,"dict(""{'key1': 'value1'}"")"
initialize a list of empty lists `x` of size 3,x = [[] for i in range(3)]
"find all possible sequences of elements in a list `[2, 3, 4]`","map(list, permutations([2, 3, 4]))"
get webpage contents with python?,urllib.request.urlopen('http://www.python.org/')
is it possible to renice a subprocess?,Popen(['nice']).communicate()
sort list of strings by integer suffix in python,"sorted(the_list, key=lambda k: int(k.split('_')[1]))"
python: append values to a set,"a.update([3, 4])"
python - how to sort a list of numerical values in ascending order,"sorted([10, 3, 2])"
how to match beginning of string or character in python,"re.findall('[^a]', 'abcd')"
how to pass initial parameter to django's modelform instance?,"super(BackupForm, self).__init__(*args, **kwargs)"
python: how to get the length of itertools _grouper,length = len(list(clusterList))
writing to a file in a for loop,myfile.close()
how to reorder indexed rows based on a list in pandas data frame,"df.reindex(['Z', 'C', 'A'])"
removing nan values from an array,x = x[~numpy.isnan(x)]
how to use regexp function in sqlite with sqlalchemy?,"cursor.execute('SELECT c1 FROM t1 WHERE c1 REGEXP ?', [SEARCH_TERM])"
how to iterate over a range of keys in a dictionary?,"[x for x in d if x not in ('Domain Source', 'Recommend Suppress')]"
apply a function to a pandas dataframe whose returned value is based on other rows,"df.groupby(['item', 'price']).region.apply(f)"
find the indexes of all regex matches in python?,"[(m.start(0), m.end(0)) for m in re.finditer(pattern, string)]"
plot with custom text for x axis points,plt.show()
how to draw intersecting planes?,plt.show()
turning off logging in paramiko,logging.basicConfig(level=logging.WARN)
pandas data frame indexing using loc,df['Weekday'].loc[1]
how do i create a python set with only one element?,set(['foo'])
wtforms: how to select options in selectmultiplefield?,"form.myfield.data = ['1', '3']"
string split with indices in python,"c = [(m.start(), m.end() - 1) for m in re.finditer('\\S+', a)]"
format string - spaces between every three digit,"format(12345678.46, ',').replace(',', ' ').replace('.', ',')"
read unicode characters from command-line arguments in python 2.x on windows,print(repr(sys.argv[1].decode('UTF-8')))
how to get text with selenium web driver in python,element = driver.find_element_by_class_name('class_name').text
"make a dictionary from list `f` which is in the format of four sets of  ""val, key, val""","{f[i + 1]: [f[i], f[i + 2]] for i in range(0, len(f), 3)}"
conversion from a numpy 3d array to a 2d array,"a.reshape(-1, 3, 3, 3, 3, 3).transpose(0, 2, 4, 1, 3, 5).reshape(27, 27)"
pythonic way to create a 2d array?,[([0] * width) for y in range(height)]
python counting elements of a list within a list,all(x.count(1) == 3 for x in L)
"how do i randomly select a variable from a list, and then modify it in python?","['1', '2', '3', '4', '5', '6', '7', 'X', '9']"
how to send an email with gmail as provider using python?,server.starttls()
"how to reverse geocode serverside with python, json and google maps?",jsondata['results'][0]['address_components']
how to filter only printable characters in a file on bash (linux) or python?,print('\n'.join(lines))
"select alternate characters of ""h-e-l-l-o- -w-o-r-l-d""",'H-e-l-l-o- -W-o-r-l-d'[::2]
separate numbers and characters in string '20m10000n80m',"re.findall('([0-9]+)([A-Z])', '20M10000N80M')"
working with nan values in matplotlib,plt.show()
overriding initial value in modelform,"super(ArtefactForm, self).__init__(*args, **kwargs)"
find and replace values in xml using python,tree.find('.//enddate').text = '1/1/2011'
coverting index into multiindex (hierachical index) in pandas,"df.set_index(['e-mail', 'date'])"
sort a part of a list in place,a[i:j] = sorted(a[i:j])
string formatting without index in python2.6,"'%s %s' % ('foo', 'bar')"
most pythonic way to create many new columns in pandas,"df = pd.DataFrame(np.random.random((1000, 100)))"
how to change the table's fontsize with matplotlib.pyplot?,plt.show()
parse 4th capital letter of line in python?,""""""""""""".join(re.findall('[A-Z][^A-Z]*', s)[3:])"
append 3 lists in one list,[[] for i in range(3)]
trouble with duplicate lines of logs in log file,hdl = logging.FileHandler('hits.log')
inverse of a matrix using numpy,"numpy.array([[0, 1, 0], [0, 0, 0], [0, 0, 0]])"
convert a list to a dictionary in python,"dict(x[i:i + 2] for i in range(0, len(x), 2))"
"split string in column 'stats' by ',' into separate columns in dataframe `df`","df['stats'].str[1:-1].str.split(',').apply(pd.Series).astype(float)"
convert a pandas dataframe to a dictionary,"df.set_index('ID', drop=True, inplace=True)"
how can a pandas merge preserve order?,"x.merge(x.merge(y, how='left', on='state', sort=False))"
django get latest entry from database,Status.objects.order_by('id')[0]
retrieve matching strings from text file,"re.findall('\\((\\d+)\\)', text)"
python: check if one dictionary is a subset of another larger dictionary,all(item in list(superset.items()) for item in list(subset.items()))
check whether a path is valid in python without creating a file at the path's target,"open(filename, 'r')"
do a boolean check if a string `lestring` contains any of the items in list `lelist`,any(e in lestring for e in lelist)
how can i convert a binary to a float number,"struct.unpack('d', struct.pack('Q', int(s2, 0)))[0]"
insert 0s into 2d array,"array([[-1, -2, -1, 2], [0, -1, 0, 3], [1, 0, 1, 4]])"
select a substring of `s` beginning at `beginning` of length `length`,s = s[beginning:(beginning + LENGTH)]
how to send file as stream from python to a c library,main()
pandas dataframe group year index by decade,df.groupby(df.index.year).sum().head()
django aggregation by the name of day,MyMode.objects.values('day').annotate(Sum('visits')).filter(day__week_day=1)
create a set containing all keys names from list of dictionaries `lod`,set([i for s in [list(d.keys()) for d in LoD] for i in s])
how to overwrite a file in python?,"open('some_path', 'r+')"
how do you plot a vertical line on a time series plot in pandas?,"ax.axvline(x, color='k', linestyle='--')"
adding a string in front of a string for each item in a list in python,n = [(i if i.startswith('h') else 'http' + i) for i in n]
python using custom color in plot,"ax.plot(x, mpt1, color='dbz53', label='53 dBz')"
convert escaped utf string to utf string in `your string`,print('your string'.decode('string_escape'))
check if date `yourdatetime` is equal to today's date,yourdatetime.date() == datetime.today().date()
converting dataframe into a list,df.values.T.tolist()
sort pandas dataframe by date,df.sort_values(by='Date')
compile visual studio project `project.sln` from the command line through python,os.system('msbuild project.sln /p:Configuration=Debug')
how do i generate a png file w/ selenium/phantomjs from a string?,driver.quit()
how to convert a timedelta object into a datetime object,today + datetime.timedelta(days=1)
normalizing colors in matplotlib,plt.show()
get a list of keys of dictionary `things` sorted by the value of nested dictionary key 'weight',"sorted(list(things.keys()), key=lambda x: things[x]['weight'], reverse=True)"
how to count values in a certain range in a numpy array?,((25 < a) & (a < 100)).sum()
how do i print colored output to the terminal in python?,sys.stdout.write('\x1b[1;31m')
insert item into case-insensitive sorted list in python,"['a', 'A', 'b', 'B', 'c', 'C', 'd', 'D', 'e', 'E']"
pandas: union duplicate strings,"df.groupby(['ID', 'url'])['active_seconds'].cumsum()"
remove newline in string `s`,s.strip()
round number `x` to nearest integer,int(round(x))
"how to get value on a certain index, in a python list?","dictionary = dict(zip(List[0::2], List[1::2]))"
matplotlib fill beetwen multiple lines,plt.show()
fastest way to sort each row in a pandas dataframe,"df.sort(axis=1, ascending=False)"
how to use gevents with falcon?,server.serve_forever()
where do you store the variables in jinja?,"return render_template('hello.html', name=name)"
split pandas dataframe column based on number of digits,df.value.astype(str).apply(list).apply(pd.Series).astype(int)
how do i capture sigint in python?,sys.exit(0)
how to get pandas.read_csv() to infer datetime and timedelta types from csv file columns?,df['timedelta'] = pd.to_timedelta(df['timedelta'])
tuple to string,tst2 = str(tst)
how to match beginning of string or character in python,"re.findall('[a]', 'abcd')"
how to convert nested list of lists into a list of tuples in python 3.3?,"list(map(tuple, [['tom', 'cat'], ['jerry', 'mouse'], ['spark', 'dog']]))"
python: convert a list of python dictionaries to an array of json objects,json.dumps([dict(mpn=pn) for pn in lst])
"add array of shape `(6, 9, 20)` to array `[1, 2, 3, 4, 5, 6, 7, 8, 9]`","np.zeros((6, 9, 20)) + np.array([1, 2, 3, 4, 5, 6, 7, 8, 9]).reshape((1, 9, 1))"
remove one column for a numpy array,"b = a[:, :-1, :]"
print a celsius symbol on x axis of a plot `ax`,ax.set_xlabel('Temperature (\u2103)')
writing items in list `thelist` to file `thefile`,"for item in thelist:
    thefile.write(('%s\n' % item))"
removing starting spaces in python?,"re.sub('^[^a]*', '')"
defining a discrete colormap for imshow in matplotlib,plt.show()
removing key values pairs from a list of dictionaries,"[{k: v for k, v in d.items() if k != 'mykey1'} for d in mylist]"
filling array with zeros in numpy,"np.zeros((4, 3, 2))"
how to visualize scalar 2d data with matplotlib?,plt.show()
set colorbar range in matplotlib,plt.colorbar()
pandas - data frame - reshaping values in data frame,"df.set_index(['row_id', 'Game_ID']).unstack(level=0).sortlevel(level=1, axis=1)"
how to find and replace nth occurence of word in a sentence using python regular expression?,"re.sub('^((.*?cat.*?){1})cat', '\\1Bull', s)"
sort numpy matrix row values in ascending order,"numpy.sort(arr, axis=0)"
matplotlib: how to force integer tick labels?,plt.show()
pythonic way to access the shifted version of numpy array?,"np.roll(a, 1)"
encode each value to 'utf8' in the list `employeelist`,[x.encode('UTF8') for x in EmployeeList]
how to write binary data in stdout in python 3?,sys.stdout.buffer.write('some binary data')
list of objects to json with python,"json_string = json.dumps(list_name, default=obj_dict)"
check if string `the_string` contains any upper or lower-case ascii letters,"re.search('[a-zA-Z]', the_string)"
python pandas : how to skip columns when reading a file?,"a = pd.read_table('file', header=None, sep=' ', usecols=list(range(8)))"
convert a string `s` containing hex bytes to a hex string,s.decode('hex')
python creating a dictionary of lists,"dict((i, list(range(int(i), int(i) + 2))) for i in ['1', '2'])"
parse string '01-jan-1995' into a datetime object using format '%d-%b-%y',"datetime.datetime.strptime('01-Jan-1995', '%d-%b-%Y')"
sort a list by multiple attributes?,"s = sorted(s, key=lambda x: (x[1], x[2]))"
add a tuple to a specific cell of a pandas dataframe,tempDF['newTuple'] = 's'
matplotlib - label each bin,plt.show()
python csv: remove quotes from value,"csv.reader(upload_file, delimiter=',', quotechar='""')"
is there a way to get a list of column names in sqlite?,names = [description[0] for description in cursor.description]
python: how to convert a string containing hex bytes to a hex string,binascii.a2b_hex(s)
make a 60 seconds time delay,time.sleep(60)
can a python script execute a function inside a bash script?,subprocess.call('test.sh otherfunc')
how to remove square bracket from pandas dataframe,df['value'] = df['value'].str.strip('[]')
how to check if all elements of a list matches a condition?,any(item[2] == 0 for item in items)
using beautifulsoup to select div blocks within html,"soup.find_all('div', class_='crBlock ')"
how to authenticate a public key with certificate authority using python?,"requests.get(url, verify='/path/to/cert.pem')"
how to plot time series in python,plt.show()
how to disable input to a text widget but allow programatic input?,text_widget.configure(state='disabled')
"convert a datetime object `my_datetime` into readable format `%b %d, %y`","my_datetime.strftime('%B %d, %Y')"
sort list `student_tuples` by second element of each tuple in ascending and third element of each tuple in descending,"print(sorted(student_tuples, key=lambda t: (-t[2], t[0])))"
can i get json to load into an ordereddict in python?,"data = json.load(open('config.json'), object_pairs_hook=OrderedDict)"
remove duplicated items from list of lists `testdata`,"list(map(list, set(map(lambda i: tuple(i), testdata))))"
how do i get the whole content between two xml tags in python?,"tostring(element).split('>', 1)[1].rsplit('</', 1)[0]"
create a permutation with same autocorrelation,"np.corrcoef(x[0:len(x) - 1], x[1:])[0][1]"
beautifulsoup find all tags with attribute 'name' equal to 'description',soup.findAll(attrs={'name': 'description'})
parsing html to get text inside an element,"print(soup.find('span', {'class': 'UserName'}).text)"
is there a matplotlib equivalent of matlab's datacursormode?,"plt.subplot(2, 1, 2)"
terminate the program,sys.exit()
"adding a 1-d array `[1, 2, 3, 4, 5, 6, 7, 8, 9]` to a 3-d array `np.zeros((6, 9, 20))`","np.zeros((6, 9, 20)) + np.array([1, 2, 3, 4, 5, 6, 7, 8, 9])[(None), :, (None)]"
python / remove special character from string,"re.sub('[^a-zA-Z0-9-_*.]', '', my_string)"
matplotlib.animation: how to remove white margin,"fig.set_size_inches(w, h, forward=True)"
how do i abort the execution of a python script?,sys.exit('aa! errors!')
how to extract the n-th elements from a list of tuples in python?,[x[1] for x in elements]
pandas: transforming the dataframegroupby object to desired format,df = df.reset_index()
make a 0.1 seconds time delay,sleep(0.1)
how to use a file in a hadoop streaming job using python?,"f = open('user_ids', 'r')"
create list of single item repeated n times in python,"[['x'], ['x'], ['x'], ['x']]"
simple way to append a pandas series `a` and `b` with same index,"pd.concat([a, b], ignore_index=True)"
"how to decode url to path in python, django","urllib.parse.quote('/static/media/uploads/gallery/Marrakech, Morocco_be3Ij2N.jpg')"
check if string contains a certain amount of words of another string,x = [x for x in b.split() if x in a.split()]
how to assign equal scaling on the x-axis in matplotlib?,ax.set_xticklabels(nonRepetitive_x)
appending column totals to a pandas dataframe,df['Total'] = df.sum(axis=1)
python3: conditional extraction of keys from a dictionary with comprehension,"[key for key, val in list(dct.items()) if val == True]"
how to get environment from a subprocess in python,proc.communicate()
python3: conditional extraction of keys from a dictionary with comprehension,"[key for key, val in list(dct.items()) if val]"
how do i transform a multi-level list into a list of strings in python?,[''.join(x) for x in a]
update all values associated with key `i` to string 'updated' if value `j` is not equal to 'none' in dictionary `d`,"{i: 'updated' for i, j in list(d.items()) if j != 'None'}"
how to run a python script from idle interactive shell?,"subprocess.call(['python', 'helloworld.py'])"
django return redirect() with parameters,"url('^link/(?P<backend>\\w+?)/$', my_function)"
how to create inline objects with properties in python?,"obj = type('obj', (object,), {'propertyName': 'propertyValue'})"
"remove repeating tuples from a list, depending on the values in the tuples","[(i, max(j)) for i, j in list(d.items())]"
extract string from between quotations,"re.findall('""([^""]*)""', 'SetVariables ""a"" ""b"" ""c"" ')"
confusing with the usage of regex in python,"re.findall('(?:[a-z])*', '123abc789')"
utf in python regex,re.compile('\u2013')
delete self-contained digits from string `s`,"s = re.sub('^\\d+\\s|\\s\\d+\\s|\\s\\d+$', ' ', s)"
create multiple columns in pandas dataframe from one function,"df[['IV', 'Vega']] = df.apply(newtonRap, axis=1)"
argparse: two positional arguments with nargs='+',"parser.add_argument('input2', nargs='+', type=int)"
python: how to convert currency to decimal?,cents_int = int(round(float(dollars.strip('$')) * 100))
python: confusions with urljoin,"urljoin('http://some/more/', 'thing')"
flask-sqlalchemy: how to conditionally insert or update a row,db.session.commit()
apply itertools.product to elements of a list of lists `arrays`,list(itertools.product(*arrays))
convert dataframe `df` to integer-type sparse object,df.to_sparse(0)
is it possible to have multiple statements in a python lambda expression?,"(lambda x, f: list(y[1] for y in f(x)))(lst, lambda x: (sorted(y) for y in x))"
exit script,sys.exit()
keep only date part when using pandas.to_datetime,df['just_date'] = df['dates'].dt.date
numpy element-wise multiplication of an array and a vector,"np.allclose(a, b)"
"how do i get a string format of the current date time, in python?","datetime.datetime.now().strftime('%I:%M%p on %B %d, %Y')"
get count of values in numpy array `a` that are between values `25` and `100`,((25 < a) & (a < 100)).sum()
how to remove leading and trailing spaces from strings in a python list,row = [x.strip() for x in row]
how can i get value of the nested dictionary using immutablemultidict on flask?,"['US', 'US', 'UK']"
get the string within brackets in python,"m = re.search('\\[(\\w+)\\]', s)"
how do i merge a 2d array in python into one string with list comprehension?,""""""","""""".join(str(item) for innerlist in outerlist for item in innerlist)"
modular addition in python,x = (x + y) % 48
reordering list of dicts arbitrarily in python,"ordered = sorted(lst, key=lambda d: [2, 3, 1, 4].index(int(d['id'])))"
inserting a string into a list without getting split into characters,"list.insert(0, 'foo')"
beautifulsoup find string 'python jobs' in html body `body`,soup.body.findAll(text='Python Jobs')
python sum of ascii values of all characters in a string,sum(bytearray('abcdefgh'))
changing the values of the diagonal of a matrix in numpy,A.ravel()[A.shape[1] * i:A.shape[1] * (i + A.shape[1]):A.shape[1] + 1]
how to check if all values in the columns of a numpy matrix are the same?,"np.all(a == a[(0), :], axis=0)"
how to compare value of 2 fields in django queryset?,players = Player.objects.filter(batting__gt=F('bowling'))
python mysql connector - unread result found when using fetchone,cursor = cnx.cursor(buffered=True)
get data of dataframe `df` where the sum of column 'x' grouped by column 'user' is equal to 0,df.loc[df.groupby('User')['X'].transform(sum) == 0]
get total number of values in a nested dictionary `food_colors`,sum(len(x) for x in list(food_colors.values()))
django - how to create a file and save it to a model's filefield?,"self.license_file.save(new_name, ContentFile('A string with the file content'))"
dictionary as table in django template,"['Birthday:', 'Education', 'Job:', 'Child Sex:']"
how do you extract a column from a multi-dimensional array?,"[1, 2, 3]"
hashing (hiding) strings in python,hash('moo')
how to execute an .sql file in pymssql,cursor.close()
"in numpy, what is the fastest way to multiply the second dimension of a 3 dimensional array by a 1 dimensional array?","A * B[:, (np.newaxis)]"
how to check if all values in the columns of a numpy matrix are the same?,"np.equal.reduce([False, 0, 1])"
pandas dataframe with 2-rows header and export to csv,"df.to_csv('test.csv', mode='a', index=False, header=False)"
python pandas date read_table,"pandas.io.parsers.read_csv('input.csv', parse_dates=[[0, 1, 2]], header=None)"
"how to store data frame using pandas, python",df.to_pickle(file_name)
format strings and named arguments in python,"""""""{1} {ham} {0} {foo} {1}"""""".format(10, 20, foo='bar', ham='spam')"
how can i build a python datastructure by reading it from a file,"[1, 2, 3, 4]"
"print '[1, 2, 3]'","print('[%s, %s, %s]' % (1, 2, 3))"
play the wav file 'sound.wav',"winsound.PlaySound('sound.wav', winsound.SND_FILENAME)"
sum of all values in a python dict `d`,sum(d.values())
python: split numpy array based on values in the array,"np.diff(arr[:, (1)])"
"if i have this string in python, how do i decode it?",urllib.parse.unquote(urllib.parse.unquote(s))
python: sorting a dictionary of lists,"[y[1] for y in sorted([(myDict[x][2], x) for x in list(myDict.keys())])]"
how to convert numpy.recarray to numpy.array?,"a.astype([('x', '<f8'), ('y', '<f8'), ('z', '<f8')]).view('<f8')"
how do i get the different parts of a flask request's url?,request.url
get the name of the os,print(os.name)
how to create a dictionary with certain specific behaviour of values,"{'A': 4, 'B': 1, 'C': 1}"
how to modify the elements in a list within list,"L = [[1, 2, 3], [4, 5, 6], [3, 4, 6]]"
how to use bower package manager in django app?,{'directory': 'app/static/bower_components'}
get a dataframe `df2` that contains all the columns of dataframe `df` that do not end in `prefix`,"df2 = df.ix[:, (~df.columns.str.endswith('prefix'))]"
how to insert scale bar in a map in matplotlib,plt.show()
"utf-8 in python logging, how?",logging._defaultFormatter = logging.Formatter('%(message)s')
how to achieve two separate list of lists from a single list of lists of tuple with list comprehension?,"[[y for x, y in sublist] for sublist in l]"
inherit from class `executive`,"super(Executive, self).__init__(*args)"
how do i plot a step function with matplotlib in python?,plt.show()
extract item from list of dictionaries,[d for d in a if d['name'] == 'pluto']
how to count the nan values in the column in panda data frame,df.isnull().sum()
create pdf with tooltips in python,plt.savefig('tooltips.pdf')
mapping over values in a python dictionary,"my_dictionary = dict(map(lambda k_v: (k_v[0], f(k_v[1])), iter(my_dictionary.items())))"
"throw an assertion error with message ""unexpected value of 'distance'!"", distance","raise AssertionError(""Unexpected value of 'distance'!"", distance)"
possible to generate data with while in list comprehension,print([i for i in range(5)])
group by multiple time units in pandas data frame,dfts = df.set_index('date_time')
matplotlib fill beetwen multiple lines,"plt.fill_between(X, Y2, Y3, color='m', alpha=0.5)"
get only first element in each of the innermost of the multidimensional list `listd`,[[[x[0]] for x in listD[i]] for i in range(len(listD))]
reverse key-value pairs in a dictionary `map`,"dict((v, k) for k, v in map.items())"
create a 2d array of `node` objects with dimensions `cols` columns and `rows` rows,nodes = [[Node() for j in range(cols)] for i in range(rows)]
read csv file 'myfile.csv' into array,"np.genfromtxt('myfile.csv', delimiter=',')"
reverse mapping of dictionary with python,"dict(map(lambda a: [a[1], a[0]], iter(d.items())))"
